FOB,FOB_per_TONS,Muni,TONS,Year,codigo_ibg,estado_id,id,pib
690167.082,26.2601171,Baependi,26281.9499,2017,3104908,11,1399,165194
672499.4934,45.21301931,Aiuruoca,14874.02309,2017,3101201,11,1357,58443
1151959.76,40.46358347,Serranos,28469.04949,2017,3167004,11,2133,17241
232748.2471,19.69641075,Ibertioga,11816.7848,2017,3129400,11,1678,42666
2500236.892,104.1558705,Carrancas,24004.76209,2016,3114600,11,1505,42410
1931.970956,39.58155818,Carrancas,48.80987625,2017,3114600,11,1505,42410
1277216.015,26.75537526,Nazareno,47736.80063,2016,3144508,11,1860,109151
1365677.648,18.46048128,Nazareno,73978.44225,2017,3144508,11,1860,109151
70156.47232,7.068075552,Itutinga,9925.82377,2015,3134509,11,1735,57947
34365.96243,226.4144004,Itutinga,151.7834659,2016,3134509,11,1735,57947
73199.85458,19.51027265,Itutinga,3751.862205,2017,3134509,11,1735,57947
1954234.714,36.55120129,Minduri,53465.67678,2017,3141900,11,1829,31740
18417.82595,13.21762705,Lavras,1393.429084,2015,3138203,11,1781,1459076
1598116.084,66.83777422,Lavras,23910.37258,2016,3138203,11,1781,1459076
8167222.486,42.88067989,Lavras,190463.9224,2017,3138203,11,1781,1459076
31424.30224,39.16692363,Itumirim,802.3173465,2016,3134301,11,1733,40583
646708.9024,193.5648208,Itumirim,3341.045649,2017,3134301,11,1733,40583
331612.2376,149.3480582,Ibituruna,2220.398722,2016,3130002,11,1685,30849
345778.1902,62.20585589,Bom Sucesso,5558.611568,2014,3108008,11,1430,182356
319841.2015,37.74812075,Bom Sucesso,8473.03641,2015,3108008,11,1430,182356
1833562.99,52.20147068,Bom Sucesso,35124.73818,2016,3108008,11,1430,182356
444446.6991,33.6775301,Resende Costa,13197.1287,2016,3154200,11,1977,75468
774430.6894,46.57469601,Resende Costa,16627.71324,2017,3154200,11,1977,75468
47567.39738,494.5843354,Lagoa Dourada,96.17651423,2015,3137403,11,1772,103175
13183.3264,418.1900943,Lagoa Dourada,31.52472184,2016,3137403,11,1772,103175
761602.1924,21.97716039,Lagoa Dourada,34654.25828,2017,3137403,11,1772,103175
685471.9573,34.85885835,Cristiano Otoni,19664.21133,2017,3120409,11,1571,43065
18744.14864,106.0723042,Casa Grande,176.7110536,2017,3114907,11,1508,20153
52262.9691,22.99342403,Ressaquinha,2272.952868,2016,3154408,11,1979,95245
357530.1256,19.39222692,Ressaquinha,18436.77506,2017,3154408,11,1979,95245
8426.166889,529.5947609,Coronel Xavier Chaves,15.91059336,2016,3119708,11,1562,30822
341.8676097,44.81659956,Coronel Xavier Chaves,7.628147004,2017,3119708,11,1562,30822
19581.88924,129.2530788,Capela Nova,151.5003698,2016,3112208,11,1479,27148
681604.6239,21.08759843,Guaraciaba,32322.53431,2015,3128204,11,1665,47068
1985286.26,40.53802101,Guaraciaba,48973.43803,2016,3128204,11,1665,47068
2.26E+07,146.3538088,Baldim,154610.4221,2017,3105004,11,1400,67482
7732570,27.33738878,Sete Lagoas,282856.935,2017,3167202,11,2135,5733894
7220202.485,172.1240407,Matozinhos,41947.67016,2016,3141108,11,1821,651035
3157045.211,18.41102278,Matozinhos,171475.819,2017,3141108,11,1821,651035
3499345.477,153.9229798,Papagaios,22734.39276,2017,3146909,11,1895,191299
873185.896,19.42685699,Belmonte,44947.358,2015,2903409,5,244,159861
22774.45019,36.3045381,Planalto,627.316897,2015,2925006,5,509,116030
41017.80757,19.42685699,Planalto,2111.397,2014,2925006,5,509,116030
794037.4907,25.11036142,Barreiras,31621.90609,2015,2903201,5,240,1874212
810833.2833,106.7280031,Barreiras,7597.193423,2017,2903201,5,240,1874212
202910.1357,273.9533086,Corrente,740.6741562,2015,2202901,17,3033,134301
479448.9169,128.5322432,Corrente,3730.184,2014,2202901,17,3033,134301
147570.9968,258.495,Corrente,570.8853046,2017,2202901,17,3033,134301
8374590,120.9170382,Canarana,69258.97397,2015,2906204,5,277,104760
4329538.087,70.10631658,Canarana,61756.74744,2017,2906204,5,277,104760
3671924,60.65376432,Canarana,60539.095,2014,2906204,5,277,104760
979831.5643,39.77724826,Bom Jesus,24632.965,2014,2201903,17,2999,188416
979831.5643,39.77724826,Bom Jesus,24632.965,2014,2502201,15,2591,11185
183.8376435,38.09125651,Itaporanga,4.826242564,2015,2507002,15,2650,127838
902109.9931,18.05009967,Triunfo,49978.117,2015,2516805,15,2777,38459
328168.0138,40.15589903,Triunfo,8172.348813,2016,2516805,15,2777,38459
345778.1902,62.20585589,Bom Sucesso,5558.611568,2014,2502300,15,2592,23151
319841.2015,37.74812075,Bom Sucesso,8473.03641,2015,2502300,15,2592,23151
1833562.99,52.20147068,Bom Sucesso,35124.73818,2016,2502300,15,2592,23151
11936.87376,39.77724827,Tavares,300.093,2014,2516607,15,2774,60438
902109.9931,18.05009967,Triunfo,49978.117,2015,2615706,16,2959,69200
328168.0138,40.15589903,Triunfo,8172.348813,2016,2615706,16,2959,69200
3158790.282,39.77724826,Soledade,79411.986,2014,2516102,15,2769,75343
277422.1293,299.1647645,Soledade,927.3222058,2015,2516102,15,2769,75343
979831.5643,39.77724826,Bom Jesus,24632.965,2014,2401701,20,3701,46809
71488.56256,25.48158615,Cascavel,2805.498926,2015,2303501,6,660,447137
76754.35751,47.05928584,Alto Alegre,1631.014074,2015,1400050,22,3902,164155
1294972.742,43.44989306,Alto Alegre,29803.81885,2016,1400050,22,3902,164155
27044.76846,45.65684513,Itapiranga,592.3486038,2015,1302009,3,155,54621
648645.0959,19.42685699,Capanema,33389.091,2014,1502202,14,2451,501050
3293261.194,57.48099952,Nova Santa Helena,57293.03982,2017,5106190,13,2358,47356
142179.3479,68.80959909,Sinop,2066.272,2014,5107909,13,2404,2011403
1056212.467,157.2852824,Sinop,6715.265729,2017,5107909,13,2404,2011403
1331916.652,68.80959909,Santa Carmem,19356.553,2014,5107248,13,2389,96951
700925.4218,258.5863657,Santa Carmem,2710.604714,2015,5107248,13,2389,96951
2950200.001,68.80959908,Feliz Natal,42874.832,2014,5103700,13,2319,200116
632221.5089,37.97448781,Feliz Natal,16648.58555,2015,5103700,13,2319,200116
2292861.362,45.73839181,Sorriso,50129.90775,2015,5107925,13,2405,2067137
1.20E+07,27.53670952,Sorriso,437584.454,2014,5107925,13,2405,2067137
6551630.751,69.04634465,Sorriso,94887.43806,2016,5107925,13,2405,2067137
1834166.842,486.2279505,Sorriso,3772.236541,2017,5107925,13,2405,2067137
8374590,120.9170382,Canarana,69258.97397,2015,5102702,13,2302,367059
4329538.087,70.10631658,Canarana,61756.74744,2017,5102702,13,2302,367059
3671924,60.65376432,Canarana,60539.095,2014,5102702,13,2302,367059
234398.6576,135.632579,Almas,1728.188458,2015,1700400,27,5429,47352
3822858.743,328.7340639,Almas,11629.03137,2017,1700400,27,5429,47352
1.27E+07,161.1060156,Paracatu,78968.19593,2015,3147006,11,1896,1506246
484836.9879,130.2655349,Paracatu,3721.913,2014,3147006,11,1896,1506246
1.16E+07,259.2144532,Paracatu,44643.07076,2016,3147006,11,1896,1506246
1950233.946,71.95362052,Paracatu,27104.0419,2017,3147006,11,1896,1506246
17872.58274,211.8894746,Cristalina,84.34861038,2015,5206206,9,953,1121098
11341.23746,16.26628932,Cristalina,697.2233949,2017,5206206,9,953,1121098
6857478.29,27.33725626,Rio Verde,250847.35,2015,5218805,9,1080,4160501
5538231,106.2757512,Rio Verde,52111.897,2014,5218805,9,1080,4160501
5386627.995,128.010897,Rio Verde,42079.44887,2016,5218805,9,1080,4160501
2393296.488,198.3124977,Rio Verde,12068.30893,2017,5218805,9,1080,4160501
