"","Year","Muni","FOB","TONS"
"1",2014,"Unknown Municipality Sao Paulo",2955124,28303.226
"2",2014,"Unknown Municipality Minas Gerais",510643,961.662
"3",2014,"Unknown Municipality Parana",9094322,86983.742
"4",2014,"Unknown Municipality Mato Grosso",15920,33.696
"5",2014,"Unknown Municipality Mato Grosso Do Sul",4257782,10224.498
"6",2014,"Unknown",574545,1030.86597
"7",2014,"Canarana",3671924,60539.095
"8",2014,"Diamantino",10922.834610691,3039.820014076
"9",2014,"Feliz Natal",2950200.000623,42874.832000003
"10",2014,"Santa Carmem",1331916.6516058,19356.552997964
"11",2014,"Sinop",142179.34790958,2066.271999733
"12",2014,"Pontes E Lacerda",1128560.12292484,8763.447136073
"13",2014,"Nova Ubirata",3486372.069657,49654.77499962
"14",2014,"Nova Maringa",20466254.0043294,150544.421514043
"15",2014,"Porto Dos Gauchos",1162887,5228.536
"16",2014,"Tabapora",1191228,9691.155
"17",2014,"Dianopolis",9624211,45056.478
"18",2014,"Silvanopolis",526446,26573.148
"19",2014,"Corrente",479448.9169,3730.184
"20",2014,"Sebastiao Barros",57551.08307,447.756
"21",2014,"Luis Eduardo Magalhaes",10289208,247819.152
"22",2014,"Paracatu",484836.98785,3721.91300002
"23",2014,"Bom Jesus De Goias",6159834.9765,43975.8609998
"24",2014,"Jatai",5981903.870083,35980.02800061
"25",2014,"Rio Verde",5538231,52111.897
"26",2014,"Baliza",3062412.354454,18419.83500093
"27",2014,"Bom Jardim De Goias",1684326.919763,10130.90999887
"28",2014,"Campo Verde",23347445.0359369,181296.58861878
"29",2014,"Planalto Da Serra",3919569.93006,39872.68599914
"30",2014,"Sorriso",12049636,437584.454
"31",2014,"Sonora",3145559.3367312,50566.93283295
"32",2014,"Antonio Joao",3233029.772899,50078.231003276
"33",2014,"Ponta Pora",10705759.104531,165827.572003012
"34",2014,"Bandeirantes",6287237.0497723,91800.72172764
"35",2014,"Jaraguari",391183.098051074,6288.525290873
"36",2014,"Sidrolandia",7428926.38142603,119424.87205997
"37",2014,"Brasilia",747851,1347.48
"38",2014,"Sandovalina",89419.5063114,998.029999982
"39",2014,"Tarabai",19276.044076,215.143999996
"40",2014,"Alfenas",1807642.45382,3696.3310002
"41",2014,"Carmo Do Rio Claro",5432.7115247,11.109
"42",2014,"Divisa Nova",56237.782629,114.996999997
"43",2014,"Ernestina",1994657.08317,50145.6780013
"44",2014,"Casca",898178.93721,22580.21799604
"45",2014,"Nicolau Vergueiro",522648.45981,13139.3819982
"46",2014,"Sertao",1315220.267515,67701.1349978
"47",2014,"Vanini",166027.012293,4173.919000351
"48",2014,"Barra Funda",307947.063109,7741.78899949
"49",2014,"Carazinho",3576385.1599,89910.3210002
"50",2014,"Sagrada Familia",430426.02351,10820.91000044
"51",2014,"Sarandi",1711205.80437,43019.71300026
"52",2014,"Caicara",252734.333162,6353.74100043
"53",2014,"Constantina",1112031.05002,27956.46000103
"54",2014,"Gramado Dos Loureiros",345726.9521878,17796.34000399
"55",2014,"Liberato Salzano",349939.864247,8797.48800045
"56",2014,"Pinheirinho Do Vale",76986.795597,1935.447999868
"57",2014,"Planalto",41017.80756892,2111.3969999
"58",2014,"Rodeio Bonito",262454.898255,6598.11599962
"59",2014,"Rondinha",1046086.85612,26298.62299546
"60",2014,"Seberi",1152468.56092,28973.05899763
"61",2014,"Taquarucu Do Sul",119679.437718,3008.741000009
"62",2014,"Vicente Dutra",304836.482262,7663.58900045
"63",2014,"Santa Barbara Do Sul",6617573.6099,166365.7969695
"64",2014,"Saldanha Marinho",1322772.62163,33254.50299521
"65",2014,"Brochier",116.666669149,2.932999999
"66",2014,"Sao Jose Do Sul",194.431189509,4.887999999
"67",2014,"Novo Hamburgo",5832.3390264,146.625000023
"68",2014,"Arvorezinha",73487.392183,1847.472999894
"69",2014,"Dois Lajeados",58323.310705,1466.248000262
"70",2014,"Itapuca",431592.491307,10850.23499992
"71",2014,"Nova Araca",66099.762751,1661.748000024
"72",2014,"Parai",115013.566497,2891.44100037
"73",2014,"Putinga",5832.3390264,146.625000023
"74",2014,"Sao Valentim Do Sul",89817.901686,2258.022000218
"75",2014,"Fagundes Varela",46658.6724408,1172.998999587
"76",2014,"Campinas Do Sul",223906.2217582,11525.60200192
"77",2014,"Entre Rios Do Sul",340200.9438362,17511.88799905
"78",2014,"Itatiba Do Sul",24610.70007945,1266.839000075
"79",2014,"Bom Retiro Do Sul",12597.8522985,316.709999974
"80",2014,"Boqueirao Do Leao",8398.5681987,211.139999985
"81",2014,"Coqueiro Baixo",3499.40341612,87.975000003
"82",2014,"Fazenda Vilanova",38882.2204033,977.499000026
"83",2014,"Marques De Souza",21774.0657019,547.400000035
"84",2014,"Imigrante",2916.18940207,73.312999996
"85",2014,"Mucum",25662.2917212,645.150000024
"86",2014,"Nova Brescia",2799.52273289,70.380000005
"87",2014,"Paverama",51324.543658,1290.299000256
"88",2014,"Relvado",11586.9135328,291.294999971
"89",2014,"Roca Sales",299587.397045,7531.62700053
"90",2014,"Santa Clara Do Sul",58323.310705,1466.248000262
"91",2014,"Pouso Novo",1399.7613664,35.189999997
"92",2014,"Progresso",116.666669149,2.932999999
"93",2014,"Mato Leitao",46658.6724408,1172.998999587
"94",2014,"Barracao",1942756.68425,48840.90200056
"95",2014,"Sao Jose Do Ouro",2373758.5627,59676.2890003
"96",2014,"Tupanci Do Sul",641556.37812,16128.72699669
"97",2014,"Vista Gaucha",272953.108492,6862.04099949
"98",2014,"Tenente Portela",1154801.49648,29031.70899528
"99",2014,"Barros Cassal",524909.7566,13196.23100211
"100",2014,"Lagoao",472418.784955,11876.60800329
"101",2014,"Soledade",3158790.28178,79411.9860037
"102",2014,"Bom Jesus",979831.56432,24632.9650035
"103",2014,"Ipe",641556.37812,16128.72699669
"104",2014,"Lagoa Vermelha",952370.34643,23942.59000344
"105",2014,"Monte Alegre Dos Campos",139975.937752,3518.994999717
"106",2014,"Passo Do Sobrado",501580.440323,12609.73200194
"107",2014,"Igrejinha",1866.3484886,46.920000005
"108",2014,"Picada Cafe",77.764520363,1.954999999
"109",2014,"Tres Coroas",77.764520363,1.954999999
"110",2014,"Tio Hugo",771267.43894,19389.66300226
"111",2014,"Campos Novos",7507128.3625,188729.2029959
"112",2014,"Monte Carlo",99642.126232,2505.002999844
"113",2014,"Ponte Alta",226459.392264,5693.188999568
"114",2014,"Vargem",224194.793976,5636.257000386
"115",2014,"Zortea",722405.4251,18161.2719997
