system:index,Count,DOY,Year,.geo
0_0,1,-56,2004,
0_1,0,-53,2004,
0_2,0,-51,2004,
0_3,0,-49,2004,
0_4,16,-48,2004,
0_5,0,-45,2004,
0_6,0,-43,2004,
0_7,58,-41.98275862,2004,
0_8,285,-40,2004,
0_9,2,-38,2004,
0_10,10,-35.9,2004,
0_11,57,-33.71929825,2004,
0_12,78,-31.80769231,2004,
0_13,34,-29.97058824,2004,
0_14,132.3254902,-27.57434134,2004,
0_15,353,-25.4305949,2004,
0_16,749,-23.74499332,2004,
0_17,790,-21.89746835,2004,
0_18,1108,-19.97382671,2004,
0_19,6296,-17.80717916,2004,
0_20,14742,-15.62230362,2004,
0_21,2406,-13.90440565,2004,
0_22,462,-11.98701299,2004,
0_23,3225.713725,-9.751682862,2004,
0_24,3291,-7.519902765,2004,
0_25,5544,-5.124098124,2004,
0_26,1471,-3.997960571,2004,
0_27,286,-1.965034965,2004,
0_28,1077,0.838440111,2004,
0_29,9185,2.587479586,2004,
0_30,540,4,2004,
0_31,0,7,2004,
0_32,497,8.778672032,2004,
0_33,2302,10.59165943,2004,
1_0,1,-49,2005,
1_1,12,-47,2005,
1_2,49,-45.44897959,2005,
1_3,64,-43.734375,2005,
1_4,10,-41,2005,
1_5,111,-39,2005,
1_6,405,-37.20246914,2005,
1_7,488,-35.97540984,2005,
1_8,57,-33.03508772,2005,
1_9,1966.32549,-31.00559419,2005,
1_10,9966,-29.10004014,2005,
1_11,12338,-27.99262441,2005,
1_12,467,-25.13704497,2005,
1_13,2564,-23.04875195,2005,
1_14,6198,-21.1976444,2005,
1_15,4725,-19.58391534,2005,
1_16,2136,-17.44850187,2005,
1_17,2845,-15.4115993,2005,
1_18,1130,-13.19557522,2005,
1_19,2675.062745,-11.71925892,2005,
1_20,4421.003922,-9.132549966,2005,
1_21,1821,-7.760021966,2005,
1_22,75,-5.973333333,2005,
1_23,808,-3.75,2005,
1_24,1492.309804,-1.136908438,2005,
1_25,572,0.192307692,2005,
1_26,3,2,2005,
1_27,91,4,2005,
1_28,0,7,2005,
1_29,0,9,2005,
1_30,0,11,2005,
1_31,0,13,2005,
1_32,0,15,2005,
1_33,0,17,2005,
1_34,3,19,2005,
1_35,0,21,2005,
1_36,0,23,2005,
1_37,0,25,2005,
1_38,2,27,2005,
2_0,1,-60,2006,
2_1,0,-57,2006,
2_2,3,-55.66666667,2006,
2_3,1,-54,2006,
2_4,4,-51.25,2006,
2_5,17,-49.23529412,2006,
2_6,8,-47.625,2006,
2_7,7,-45.14285714,2006,
2_8,85,-43.90588235,2006,
2_9,225,-41.52888889,2006,
2_10,169,-39.19526627,2006,
2_11,101,-37.07920792,2006,
2_12,125,-35.616,2006,
2_13,488,-33.44262295,2006,
