system:index,Count,DOY,Year,.geo
0_0,6,-56,2004,
0_1,0,-53,2004,
0_2,0,-51,2004,
0_3,2,-50,2004,
0_4,11,-48,2004,
0_5,0,-45,2004,
0_6,1,-43,2004,
0_7,38,-41.92105263,2004,
0_8,75,-40,2004,
0_9,0,-37,2004,
0_10,56,-35.96428571,2004,
0_11,155,-33.44516129,2004,
0_12,115,-31.6,2004,
0_13,39,-30,2004,
0_14,382.6862745,-27.46251985,2004,
0_15,851.372549,-25.22786734,2004,
0_16,719,-23.56884562,2004,
0_17,745,-21.93691275,2004,
0_18,1090,-19.92568807,2004,
0_19,6103,-17.43732591,2004,
0_20,6185,-15.35440582,2004,
0_21,938,-13.91577825,2004,
0_22,677,-11.98966027,2004,
0_23,3051.435294,-9.498268896,2004,
0_24,1587,-7.29615627,2004,
0_25,1085,-5.20921659,2004,
0_26,402,-3.990049751,2004,
0_27,123.2627451,-1.975661746,2004,
0_28,1187,0.912384162,2004,
0_29,2544,2.820361635,2004,
0_30,116,4,2004,
0_31,0,7,2004,
0_32,469,8.925373134,2004,
0_33,595,10.74621849,2004,
1_0,6,-49,2005,
1_1,125,-47,2005,
1_2,113,-45.24778761,2005,
1_3,95,-43.51578947,2005,
1_4,41,-41,2005,
1_5,774,-39.01033592,2005,
1_6,515,-37.2407767,2005,
1_7,176,-35.84659091,2005,
1_8,188,-33.04787234,2005,
1_9,5478.764706,-31.00821353,2005,
1_10,7408.105882,-29.11946374,2005,
1_11,2644,-27.95385779,2005,
1_12,594,-25.14814815,2005,
1_13,3069.462745,-23.03746584,2005,
1_14,3639,-21.23440506,2005,
1_15,2134,-19.41846298,2005,
1_16,1242,-17.48872786,2005,
1_17,1496,-15.19852941,2005,
1_18,961,-13.38189386,2005,
1_19,1349.952941,-11.70295261,2005,
1_20,1077,-9.224698236,2005,
1_21,568,-7.642605634,2005,
1_22,112,-5.964285714,2005,
1_23,246,-3.613821138,2005,
1_24,349,-1.206303725,2005,
1_25,167,0.137724551,2005,
1_26,4,2,2005,
1_27,15,4,2005,
1_28,0,7,2005,
1_29,0,9,2005,
1_30,0,11,2005,
1_31,0,13,2005,
1_32,0,15,2005,
1_33,1,17,2005,
1_34,2,19,2005,
2_0,1,-58,2006,
2_1,9,-55.77777778,2006,
2_2,2,-54,2006,
2_3,14,-51.92857143,2006,
2_4,17,-49.94117647,2006,
