"Regions","Area_ha","2009-09-24","2009-10-01","2009-10-08","2009-10-15","2009-10-22","2009-10-29","2009-11-05","2009-11-12","2009-11-19","2009-11-26","2009-12-03"
"Noroeste",241200,0.006,0.036,0.117,0.163,0.291,0.407,0.646,0.809,0.917,1,1
"Brasnorte",140000,0.01,0.04,0.13,0.18,0.3,0.42,0.68,0.83,0.93,1,1
"Others_Noroeste",101200,0,0.03,0.1,0.14,0.28,0.39,0.6,0.78,0.9,1,1
"Norte",32000,0.012,0.04,0.091,0.143,0.291,0.419,0.639,0.923,0.971,1,1
"Itauba",18000,0.02,0.04,0.1,0.16,0.3,0.45,0.63,0.94,0.98,1,1
"Others_Norte",14000,0,0.04,0.08,0.12,0.28,0.38,0.65,0.9,0.96,1,1
"Nordeste",577200,0,0,0,0.01,0.055,0.106,0.189,0.318,0.482,0.7015,0.9006
"Canarana",105000,0,0,0,0.01,0.1,0.22,0.33,0.48,0.65,0.82,0.98
"Querencia",210000,0,0,0,0.01,0.05,0.1,0.16,0.28,0.45,0.68,0.88
"Gaucha_do_Norte",70000,0,0,0,0.01,0.03,0.08,0.16,0.25,0.38,0.62,0.9
"Nova Xavantina",38000,0,0,0,0.005,0.03,0.05,0.12,0.3,0.42,0.67,0.88
"Others_Nordeste",154200,0,0,0,0.01,0.05,0.07,0.17,0.3,0.48,0.7,0.88
"Medio_Norte",2440000,0.03,0.064,0.189,0.285,0.476,0.623,0.778,0.915,0.987,0.9995,1
"Lucas do Rio Verde",240000,0.07,0.12,0.3,0.5,0.7,0.86,0.93,0.99,1,1,1
"Sorriso",6e+05,0.04,0.08,0.25,0.35,0.55,0.72,0.84,0.98,1,1,1
"Nova Mutum",330000,0.04,0.07,0.18,0.25,0.42,0.53,0.72,0.88,0.98,1,1
"Ipiranga do Norte",175000,0.03,0.06,0.13,0.2,0.4,0.56,0.75,0.92,0.99,1,1
"Sinop",110000,0.02,0.05,0.13,0.22,0.4,0.56,0.78,0.93,0.99,1,1
"Tapurah",120000,0.01,0.03,0.18,0.25,0.42,0.58,0.75,0.88,0.97,1,1
"Santa Rita do Trivelato",140000,0.005,0.03,0.12,0.23,0.4,0.5,0.68,0.86,0.98,1,1
"Nova_Ubirata",260000,0.01,0.04,0.15,0.23,0.45,0.58,0.75,0.88,0.98,1,1
"Vera",110000,0.01,0.05,0.15,0.28,0.5,0.65,0.82,0.92,0.98,1,1
"Sao_Jose_do_Rio_Claro",88000,0.005,0.04,0.12,0.18,0.4,0.55,0.66,0.78,0.95,1,1
"Others_Medio_Norte",267000,0.02,0.05,0.14,0.2,0.35,0.5,0.7,0.85,0.98,0.995,1
"Oeste",943200,0.033,0.079,0.18,0.25,0.429,0.585,0.74,0.863,0.95,0.9906,1
"Sapezal",370000,0.05,0.12,0.25,0.3,0.5,0.66,0.78,0.9,0.97,0.99,1
"Campo Novo Dos Parecis",320000,0.02,0.05,0.15,0.22,0.38,0.53,0.7,0.83,0.94,0.99,1
"Campos_de_Julio",190000,0.03,0.06,0.12,0.22,0.4,0.55,0.72,0.84,0.92,0.99,1
"Others_Oeste",63200,0.01,0.04,0.1,0.2,0.35,0.53,0.78,0.89,0.98,1,1
"Centro Sul",409100,0.024,0.043,0.119,0.194,0.301,0.468,0.669,0.831,0.939,0.9866,1
"Diamantino",270000,0.03,0.05,0.13,0.2,0.3,0.48,0.68,0.82,0.93,0.98,1
"Tangara_da_Serra",50000,0.02,0.04,0.12,0.18,0.3,0.45,0.68,0.89,0.97,1,1
"Santo Antonio do Leveger",28000,0.005,0.03,0.1,0.18,0.3,0.43,0.65,0.88,0.97,1,1
"Chapada_dos_Guimaraes",13000,0.005,0.03,0.1,0.2,0.33,0.5,0.7,0.85,0.99,1,1
"Others_Centro_Sul",48100,0.005,0.02,0.07,0.18,0.3,0.43,0.6,0.8,0.93,1,1
"Sudeste",1430000,0.006,0.028,0.09,0.2,0.294,0.451,0.661,0.809,0.974,0.9914,1
"Campo Verde",160000,0.01,0.05,0.12,0.22,0.38,0.58,0.78,0.9,0.99,1,1
"Primavera do Leste",230000,0.01,0.04,0.08,0.18,0.28,0.5,0.68,0.85,0.97,0.995,1
"Alto_Garcas_e_Alto_Taquari",122000,0,0.02,0.08,0.16,0.25,0.44,0.56,0.75,0.95,0.98,1
"Jaciara e Juscimeira",68000,0,0.02,0.08,0.15,0.32,0.52,0.66,0.88,0.98,0.995,1
"Santo Antonio do Leste",125000,0.005,0.03,0.09,0.16,0.32,0.46,0.63,0.8,0.95,0.99,1
"Others_Sudeste",725000,0.005,0.02,0.09,0.22,0.28,0.4,0.65,0.78,0.98,0.99,1
"Mato Grosso",6072700,0.021,0.05,0.14,0.224,0.368,0.511,0.679,0.819,0.928,0.969,0.991
